state,ger,students,universities,faculty,population_18_23,year,students_per_uni,faculty_per_student,enrollment_rate_proxy,universities_per_lakh_population,faculty_per_lakh_population
Uttar Pradesh,25.260485083131417,6388214.0,81.0,161439.0,25289356.0,2019,78866.83950617284,0.02527138258048337,25.260485083131417,0.3202928536416665,638.3673827044073
Uttarakhand,41.494313110759116,493279.0,36.0,18314.0,1188787.0,2019,13702.194444444445,0.037127061966959876,41.494313110759116,3.0282969110530313,1540.5619341395893
West Bengal,19.946929862254137,2160893.0,47.0,65546.0,10833211.0,2019,45976.44680851064,0.030332829992044955,19.946929862254137,0.43385105302573723,605.0468323749994
Andhra Pradesh,37.199019314268604,1987618.0,45.0,124.0,5343200.0,2020,44169.28888888889,6.23862331695527e-05,37.199019314268604,0.8421919449019314,2.3207066926186553
Arunachal Pradesh,33.74344026617408,59735.0,10.0,4.0,177027.0,2020,5973.5,6.696241734326609e-05,33.74344026617408,5.648855824252798,2.259542329701119
Assam,17.535166272576344,697093.0,28.0,36.0,3975400.0,2020,24896.178571428572,5.164303758608966e-05,17.535166272576344,0.7043316395834381,0.9055692508929919
Bihar,15.883618137782562,2360941.0,37.0,260.0,14864000.0,2020,63809.21621621621,0.0001101255812830562,15.883618137782562,0.24892357373519916,1.7491926803013993
Chandigarh,66.09723261032161,110465.0,3.0,22.0,167125.0,2020,36821.666666666664,0.00019915810437695197,66.09723261032161,1.795063575168287,13.163799551234106
Chhattisgarh,19.63474367449967,653405.0,32.0,170.0,3327800.0,2020,20418.90625,0.0002601755419686106,19.63474367449967,0.9615962497746259,5.1084800769277
Delhi,47.56518187290394,1106271.0,28.0,104.0,2325800.0,2020,39509.67857142857,9.400951484762775e-05,47.56518187290394,1.203886834637544,4.471579671510877
Goa,33.79601858963219,60285.0,3.0,68.0,178379.0,2020,20095.0,0.0011279754499460893,33.79601858963219,1.6818123209570632,38.12107927502677
Gujarat,22.183113711387243,1653130.0,83.0,2216.0,7452200.0,2020,19917.22891566265,0.0013404874389793906,22.183113711387243,1.1137650626660585,29.736185287566087
